# norn rig — sprite-part compositor; coords: normalized (fraction of sprite w/h)
meta groundOffset=0.0980 walkStride=0.4920 pickupReachX=0.2920
part body sprite=body parent=- anchor=0.0600,0.0600 pivot=0.0020,0.0040 rest=0.0000 z=0
anim footL EAT bias=0.1847 amp=0.0075 freq=0.7500 phase=3.1793 sign=-1.0000
anim head WALK bias=-0.6635 amp=0.0754 freq=2.0000 phase=3.4243 sign=1.0000
anim head PICK_UP bias=0.1433 amp=0.2168 freq=1.0000 phase=1.5645 sign=1.0000
anim head COURT bias=-0.2500 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim head REST bias=0.5730 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim head EAT bias=0.1433 amp=0.0151 freq=0.2500 phase=0.0000 sign=1.0000
anim uarmR WALK bias=-0.8859 amp=0.6032 freq=1.0000 phase=4.6181 sign=-1.0000
anim uarmR PICK_UP bias=-0.9312 amp=0.3581 freq=1.0000 phase=1.5394 sign=1.0000
anim uarmR COURT bias=0.0000 amp=0.3500 freq=1.0000 phase=0.0000 sign=1.0000
anim uarmR REST bias=-0.7238 amp=0.0377 freq=1.0000 phase=0.0000 sign=1.0000
anim uarmR EAT bias=-1.3496 amp=0.0603 freq=0.7500 phase=0.0000 sign=1.0000
anim farmR WALK bias=-1.0367 amp=0.4317 freq=1.0000 phase=1.0681 sign=-1.0000
anim farmR PICK_UP bias=-0.2752 amp=0.5881 freq=1.0000 phase=1.5645 sign=-1.0000
anim farmR REST bias=-0.7955 amp=0.0452 freq=1.0000 phase=0.0000 sign=-1.0000
anim farmR EAT bias=-0.2601 amp=0.0603 freq=0.2500 phase=0.0000 sign=1.0000
anim thighR WALK bias=-1.1536 amp=0.4090 freq=1.0000 phase=3.1416 sign=1.0000
anim thighR PICK_UP bias=-1.0669 amp=0.1414 freq=1.0000 phase=1.5394 sign=-1.0000
anim thighR REST bias=-1.4967 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim thighR EAT bias=-0.8859 amp=0.0151 freq=0.7500 phase=0.0000 sign=1.0000
anim shinR WALK bias=1.0367 amp=0.4694 freq=1.0000 phase=3.4746 sign=-1.0000
anim shinR PICK_UP bias=0.9462 amp=0.6032 freq=1.0000 phase=1.5645 sign=-1.0000
anim shinR REST bias=1.8850 amp=0.0000 freq=1.0000 phase=0.0000 sign=1.0000
anim shinR EAT bias=0.0000 amp=0.0151 freq=0.7500 phase=3.1290 sign=1.0000
anim footR WALK bias=1.8850 amp=0.1338 freq=1.0000 phase=4.0464 sign=1.0000
anim footR PICK_UP bias=0.0528 amp=0.5504 freq=1.0000 phase=1.5896 sign=1.0000
anim footR REST bias=1.4967 amp=0.0377 freq=0.7500 phase=2.2368 sign=1.0000
anim footR EAT bias=0.0000 amp=0.0075 freq=0.7500 phase=3.1793 sign=-1.0000
global WALK bob=0.4000 bobFreq=1.0000 lean=0.2922 hop=0.0000 hopFreq=1.7500
global PICK_UP bob=0.1500 bobFreq=1.0000 lean=0.0000 hop=0.0000 hopFreq=1.7500
global COURT bob=0.1500 bobFreq=1.0000 lean=0.0000 hop=0.2800 hopFreq=1.7500
global REST bob=0.1500 bobFreq=1.0000 lean=0.0000 hop=0.0000 hopFreq=1.7500
global EAT bob=0.1500 bobFreq=1.0000 lean=0.0000 hop=0.0000 hopFreq=1.7500
